Field Identifier,Category,Sub-Category,Field Name,Alias Export,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field,Include Category in Type Name,Include Sub-Category in Type Name,Data Point Type Name Overwrite
151,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Non-Assessed Exposures,IF_OWN_ACCOUNT_TURNOVER_BASED_PCT_NON_ASSESSED,Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which Non-Assessed Exposures,Percentage,,,Extended,,,,Yes,Yes,
152,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Non-Assessed Exposures - Of which Exposures Financing Non-Assessed Non-Material Activities of Counterparties,IF_OWN_ACCOUNT_TURNOVER_BASED_PCT_NON_ASSESSED_NON_MATERIAL_CP,Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which Exposures Financing Non-Assessed Non-Material Activities of Counterparties,Percentage,,,Extended,,,,Yes,Yes,
153,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Non-Assessed Exposures - Of which Exposures Financing Counterparties Reporting no Taxonomy-eligible Activities,IF_OWN_ACCOUNT_TURNOVER_BASED_PCT_NON_ASSESSED_NO_ELIGIBLE_CP,Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which exposures financing counterparties reporting in accordance with Article 7(9) of Regulation (EU) 2026/73,Percentage,,,Extended,,,,Yes,Yes,
154,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Non-Assessed Exposures - Of which Non-Assessed Exposures Considered Non-Material by the Reporting Entity,IF_OWN_ACCOUNT_TURNOVER_BASED_PCT_NON_ASSESSED_NON_MATERIAL_RE,Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which Non-Assessed Exposures Considered Non-Material by the Reporting Entity,Percentage,,,Extended,,,,Yes,Yes,
155,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets Exposed towards Nuclear Activities - Eligible,IF_OWN_ACCOUNT_TURNOVER_BASED_NUCLEAR_PCT_ELIGIBLE,Taxonomy-eligible Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
156,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets Exposed towards Fossil Gas Activities - Eligible,IF_OWN_ACCOUNT_TURNOVER_BASED_GAS_PCT_ELIGIBLE,Taxonomy-eligible Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
157,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets Exposed towards Nuclear Activities - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_NUCLEAR_PCT_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
158,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets Exposed towards Fossil Gas Activities - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_GAS_PCT_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
159,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Total Assets invested under Investment Firm's Activities dealing on own Account,IF_OWN_ACCOUNT_CAPEX_BASED_TOTAL_ASSETS,Total assets invested under investment firms' activities dealing on own account (as per Section A of Annex I to Directive 2014/65/EU),Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
160,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Total Assets invested under Investment Firm's Activities dealing on own Account of which covered by the CapEx,IF_OWN_ACCOUNT_CAPEX_BASED_COVERED_ASSETS,Total assets invested under investment firms' activities dealing on own account (as per Section A of Annex I to Directive 2014/65/EU) of which covered by the CapEx,Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
161,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to Climate Change Mitigation - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_CCM_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Climate Change Mitigation,Percentage,,,Extended,,,,Yes,Yes,
162,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to Climate Change Adaptation - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_CCA_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Climate Change Adaptation,Percentage,,,Extended,,,,Yes,Yes,
163,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to Sustainable Use and Protection of Water and Marine Resources - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_WTR_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Sustainable Use and Protection of Water and Marine Resources,Percentage,,,Extended,,,,Yes,Yes,
164,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to Circular Economy - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_CE_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Circular Economy,Percentage,,,Extended,,,,Yes,Yes,
165,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to Pollution Prevention and Control - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_PPC_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Pollution Prevention and Control,Percentage,,,Extended,,,,Yes,Yes,
166,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to Protection and Restoration of Biodiversity and Ecosystems - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_BIO_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Protection and Restoration of Biodiversity and Ecosystems,Percentage,,,Extended,,,,Yes,Yes,
167,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to any of the six Environmental Objectives - Eligible,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_ANY_ELIGIBLE,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to any of the six Environmental Objectives,Percentage,,,Extended,,,,Yes,Yes,
168,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to any of the six Environmental Objectives - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_ANY_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to any of the six Environmental Objectives,Percentage,,,Extended,,,,Yes,Yes,
169,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to any of the six Environmental Objectives - Of which Transitional,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_ANY_TRANSITIONAL,Taxonomy-aligned and transitional CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to any of the six Environmental Objectives,Percentage,,,Extended,,,,Yes,Yes,
170,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to any of the six Environmental Objectives - Of which Enabling,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_ANY_ENABLING,Taxonomy-aligned and enabling CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to any of the six Environmental Objectives,Percentage,,,Extended,,,,Yes,Yes,
171,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Non-Assessed Exposures,IF_OWN_ACCOUNT_CAPEX_BASED_PCT_NON_ASSESSED,CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which Non-Assessed Exposures,Percentage,,,Extended,,,,Yes,Yes,
172,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Non-Assessed Exposures - Of which Exposures Financing Non-Assessed Non-Material Activities of Counterparties,IF_OWN_ACCOUNT_CAPEX_BASED_PCT_NON_ASSESSED_NON_MATERIAL_CP,CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which Exposures Financing Non-Assessed Non-Material Activities of Counterparties,Percentage,,,Extended,,,,Yes,Yes,
173,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Non-Assessed Exposures - Of which Exposures Financing Counterparties Reporting no Taxonomy-eligible Activities,IF_OWN_ACCOUNT_CAPEX_BASED_PCT_NON_ASSESSED_NO_ELIGIBLE_CP,CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which exposures financing counterparties reporting in accordance with Article 7(9) of Regulation (EU) 2026/73,Percentage,,,Extended,,,,Yes,Yes,
174,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Non-Assessed Exposures - Of which Non-Assessed Exposures Considered Non-Material by the Reporting Entity,IF_OWN_ACCOUNT_CAPEX_BASED_PCT_NON_ASSESSED_NON_MATERIAL_RE,CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which Non-Assessed Exposures Considered Non-Material by the Reporting Entity,Percentage,,,Extended,,,,Yes,Yes,
175,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets Exposed towards Nuclear Activities - Eligible,IF_OWN_ACCOUNT_CAPEX_BASED_NUCLEAR_PCT_ELIGIBLE,Taxonomy-eligible CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
176,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets Exposed towards Fossil Gas Activities - Eligible,IF_OWN_ACCOUNT_CAPEX_BASED_GAS_PCT_ELIGIBLE,Taxonomy-eligible CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
177,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets Exposed towards Nuclear Activities - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_NUCLEAR_PCT_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
178,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets Exposed towards Fossil Gas Activities - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_GAS_PCT_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
179,Investment firms,Other Services - Turnover-based,Turnover-based Total Revenue from Investments and Services and Activities other than Dealing on own Account,IF_OTHER_TURNOVER_BASED_TOTAL_REVENUE,"Total Revenue (i.e. fees, commissions and other monetary benefits) from investment and services and activities other than dealing on own account (as per Section A of Annex I to Directive 2014/65/EU)",Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
180,Investment firms,Other Services - Turnover-based,Turnover-based Total Revenue from Investments and Services and Activities other than Dealing on own Account of which covered by the Turnover,IF_OTHER_TURNOVER_BASED_COVERED_REVENUE,"Total Revenue (i.e. fees, commissions and other monetary benefits) from investment and services and activities other than dealing on own account (as per Section A of Annex I to Directive 2014/65/EU) of which covered by the Turnover",Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
181,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to Climate Change Mitigation - Aligned,IF_OTHER_TURNOVER_BASED_SC_TO_CCM_ALIGNED,"Taxonomy-aligned Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Climate Change Mitigation",Percentage,,,Extended,,,,Yes,Yes,
182,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to Climate Change Adaptation - Aligned,IF_OTHER_TURNOVER_BASED_SC_TO_CCA_ALIGNED,"Taxonomy-aligned Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Climate Change Adaptation",Percentage,,,Extended,,,,Yes,Yes,
183,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to Sustainable Use and Protection of Water and Marine Resources - Aligned,IF_OTHER_TURNOVER_BASED_SC_TO_WTR_ALIGNED,"Taxonomy-aligned Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Sustainable Use and Protection of Water and Marine Resources",Percentage,,,Extended,,,,Yes,Yes,
184,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to Circular Economy - Aligned,IF_OTHER_TURNOVER_BASED_SC_TO_CE_ALIGNED,"Taxonomy-aligned Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Circular Economy",Percentage,,,Extended,,,,Yes,Yes,
185,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to Pollution Prevention and Control - Aligned,IF_OTHER_TURNOVER_BASED_SC_TO_PPC_ALIGNED,"Taxonomy-aligned Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Pollution Prevention and Control",Percentage,,,Extended,,,,Yes,Yes,
186,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to Protection and Restoration of Biodiversity and Ecosystems - Aligned,IF_OTHER_TURNOVER_BASED_SC_TO_BIO_ALIGNED,"Taxonomy-aligned Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Protection and Restoration of Biodiversity and Ecosystems",Percentage,,,Extended,,,,Yes,Yes,
187,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to any of the six Environmental Objectives - Eligible,IF_OTHER_TURNOVER_BASED_SC_TO_ANY_ELIGIBLE,"Taxonomy-aligned Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to any of the six Environmental Objectives",Percentage,,,Extended,,,,Yes,Yes,
188,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to any of the six Environmental Objectives - Aligned,IF_OTHER_TURNOVER_BASED_SC_TO_ANY_ALIGNED,"Taxonomy-aligned Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to any of the six Environmental Objectives",Percentage,,,Extended,,,,Yes,Yes,
189,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to any of the six Environmental Objectives - Of which Transitional,IF_OTHER_TURNOVER_BASED_SC_TO_ANY_TRANSITIONAL,"Taxonomy-aligned and transitional Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to any of the six Environmental Objectives",Percentage,,,Extended,,,,Yes,Yes,
190,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue substantially contributing to any of the six Environmental Objectives - Of which Enabling,IF_OTHER_TURNOVER_BASED_SC_TO_ANY_ENABLING,"Taxonomy-aligned and enabling Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to any of the six Environmental Objectives",Percentage,,,Extended,,,,Yes,Yes,
191,Investment firms,Other Services - Turnover-based,Turnover-based Non-Assessed Exposures,IF_OTHER_TURNOVER_BASED_PCT_NON_ASSESSED,"Turnover-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities of which Non-Assessed Exposures",Percentage,,,Extended,,,,Yes,Yes,
192,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue from Operation of an OTF of which Nuclear Activities - Eligible,IF_OTHER_TURNOVER_BASED_NUCLEAR_PCT_ELIGIBLE,Taxonomy-eligible Turnover-based Proportion of Revenue from Operation of an OTF which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
193,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue from Operation of an OTF of which Fossil Gas Activities - Eligible,IF_OTHER_TURNOVER_BASED_GAS_PCT_ELIGIBLE,Taxonomy-eligible Turnover-based Proportion of Revenue from Operation of an OTF which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
194,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue from Operation of an OTF of which Nuclear Activities - Aligned,IF_OTHER_TURNOVER_BASED_NUCLEAR_PCT_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Revenue from Operation of an OTF which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
195,Investment firms,Other Services - Turnover-based,Turnover-based Proportion of Revenue from Operation of an OTF of which Fossil Gas Activities - Aligned,IF_OTHER_TURNOVER_BASED_GAS_PCT_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Revenue from Operation of an OTF which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
196,Investment firms,Other Services - CapEx-based,CapEx-based Total Revenue from Investments and Services and Activities other than Dealing on own Account,IF_OTHER_CAPEX_BASED_TOTAL_REVENUE,Total assets invested under investment firms' activities Other Services (as per Section A of Annex I to Directive 2014/65/EU),Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
197,Investment firms,Other Services - CapEx-based,CapEx-based Total Revenue from Investments and Services and Activities other than Dealing on own Account of which covered by the CapEx,IF_OTHER_CAPEX_BASED_COVERED_REVENUE,"Total Revenue (i.e. fees, commissions and other monetary benefits) from investment and services and activities other than dealing on own account (as per Section A of Annex I to Directive 2014/65/EU) of which covered by the CapEx",Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
198,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to Climate Change Mitigation - Aligned,IF_OTHER_CAPEX_BASED_SC_TO_CCM_ALIGNED,"Taxonomy-aligned CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Climate Change Mitigation",Percentage,,,Extended,,,,Yes,Yes,
199,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to Climate Change Adaptation - Aligned,IF_OTHER_CAPEX_BASED_SC_TO_CCA_ALIGNED,"Taxonomy-aligned CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Climate Change Adaptation",Percentage,,,Extended,,,,Yes,Yes,
200,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to Sustainable Use and Protection of Water and Marine Resources - Aligned,IF_OTHER_CAPEX_BASED_SC_TO_WTR_ALIGNED,"Taxonomy-aligned CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Sustainable Use and Protection of Water and Marine Resources",Percentage,,,Extended,,,,Yes,Yes,
201,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to Circular Economy - Aligned,IF_OTHER_CAPEX_BASED_SC_TO_CE_ALIGNED,"Taxonomy-aligned CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Circular Economy",Percentage,,,Extended,,,,Yes,Yes,
202,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to Pollution Prevention and Control - Aligned,IF_OTHER_CAPEX_BASED_SC_TO_PPC_ALIGNED,"Taxonomy-aligned CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Pollution Prevention and Control",Percentage,,,Extended,,,,Yes,Yes,
203,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to Protection and Restoration of Biodiversity and Ecosystems - Aligned,IF_OTHER_CAPEX_BASED_SC_TO_BIO_ALIGNED,"Taxonomy-aligned CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to Protection and Restoration of Biodiversity and Ecosystems",Percentage,,,Extended,,,,Yes,Yes,
204,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to any of the six Environmental Objectives - Eligible,IF_OTHER_CAPEX_BASED_SC_TO_ANY_ELIGIBLE,"Taxonomy-aligned CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to any of the six Environmental Objectives",Percentage,,,Extended,,,,Yes,Yes,
205,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to any of the six Environmental Objectives - Aligned,IF_OTHER_CAPEX_BASED_SC_TO_ANY_ALIGNED,"Taxonomy-aligned CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to any of the six Environmental Objectives",Percentage,,,Extended,,,,Yes,Yes,
206,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to any of the six Environmental Objectives - Of which Transitional,IF_OTHER_CAPEX_BASED_SC_TO_ANY_TRANSITIONAL,"Taxonomy-aligned and transitional CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to any of the six Environmental Objectives",Percentage,,,Extended,,,,Yes,Yes,
207,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue substantially contributing to any of the six Environmental Objectives - Of which Enabling,IF_OTHER_CAPEX_BASED_SC_TO_ANY_ENABLING,"Taxonomy-aligned and enabling CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities substantially contributing to any of the six Environmental Objectives",Percentage,,,Extended,,,,Yes,Yes,
208,Investment firms,Other Services - CapEx-based,CapEx-based Non-Assessed Exposures,IF_OTHER_CAPEX_BASED_PCT_NON_ASSESSED,"CapEx-based Proportion of Revenue (Fees, Commissions and other Monetary Services) from Investments and Services and Activities of which Non-Assessed Exposures",Percentage,,,Extended,,,,Yes,Yes,
209,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue from Operation of an OTF of which Nuclear Activities - Eligible,IF_OTHER_CAPEX_BASED_NUCLEAR_PCT_ELIGIBLE,Taxonomy-eligible CapEx-based Proportion of Revenue from Operation of an OTF which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
210,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue from Operation of an OTF of which Fossil Gas Activities - Eligible,IF_OTHER_CAPEX_BASED_GAS_PCT_ELIGIBLE,Taxonomy-eligible CapEx-based Proportion of Revenue from Operation of an OTF which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
211,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue from Operation of an OTF of which Nuclear Activities - Aligned,IF_OTHER_CAPEX_BASED_NUCLEAR_PCT_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Revenue from Operation of an OTF which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
212,Investment firms,Other Services - CapEx-based,CapEx-based Proportion of Revenue from Operation of an OTF of which Fossil Gas Activities - Aligned,IF_OTHER_CAPEX_BASED_GAS_PCT_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Revenue from Operation of an OTF which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
